,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,CTRE,"CareTrust REIT, Inc.",3.04B,0.49%,180429,217.77M
83,DBRG,"DigitalBridge Group, Inc.",3.01B,1.03%,155119,821.38M
84,SITC,SITE Centers Corp.,2.97B,-0.77%,123046,546.28M
85,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.95B,0.46%,125014,319.87M
86,CDP,COPT Defense Properties,2.83B,-0.40%,84030,684.98M
87,BNL,"Broadstone Net Lease, Inc.",2.83B,0.34%,207867,442.89M
88,DEI,"Douglas Emmett, Inc.",2.77B,0.04%,178038,1.02B
89,ESRT,"Empire State Realty Trust, Inc.",2.74B,0.51%,75409,739.57M
90,IIPR,"Innovative Industrial Properties, Inc.",2.73B,-0.54%,22244,309.51M
91,LXP,LXP Industrial Trust,2.70B,-0.16%,270005,340.50M
92,HIW,"Highwoods Properties, Inc.",2.68B,0.24%,90800,834.00M
93,OUT,Outfront Media Inc.,2.65B,-1.31%,282047,1.82B
94,NMRK,"Newmark Group, Inc.",2.61B,-1.20%,270430,2.47B
95,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,-0.56%,4111,214.50M
96,ESBA,"Empire State Realty OP, L.P.",2.56B,-,201,739.57M
97,NHI,"National Health Investors, Inc.",2.55B,-0.06%,11038,319.84M
98,MPW,"Medical Properties Trust, Inc.",2.50B,3.11%,5840536,871.80M
99,ABR,"Arbor Realty Trust, Inc.",2.42B,0.74%,745075,721.01M
100,SHO,"Sunstone Hotel Investors, Inc.",2.32B,-1.27%,134887,986.48M
101,CWK,Cushman & Wakefield plc,2.25B,-1.16%,125528,9.49B
102,FCPT,"Four Corners Property Trust, Inc.",2.24B,0.16%,32046,250.61M
103,UE,Urban Edge Properties,2.15B,-0.38%,46234,416.92M
104,OPEN,Opendoor Technologies Inc.,2.08B,-3.27%,5555691,6.95B
105,DRH,DiamondRock Hospitality Company,2.03B,-1.50%,121252,1.07B
106,EQC,Equity Commonwealth,2.01B,-0.40%,92772,60.52M
107,EXPI,"eXp World Holdings, Inc.",2.00B,2.05%,141819,4.28B
108,PEB,Pebblebrook Hotel Trust,1.95B,-1.33%,133909,1.42B
109,FOR,Forestar Group Inc.,1.87B,-1.55%,46434,1.53B
110,AKR,Acadia Realty Trust,1.85B,0.03%,76024,338.69M
111,GNL,"Global Net Lease, Inc.",1.73B,1.48%,352885,515.07M
112,IVT,InvenTrust Properties Corp.,1.70B,0.18%,22976,258.68M
113,CXW,"CoreCivic, Inc.",1.67B,-1.18%,44768,1.90B
114,ROIC,Retail Opportunity Investments Corp.,1.65B,-,98680,327.73M
115,XHR,"Xenia Hotels & Resorts, Inc.",1.64B,-1.45%,88178,1.03B
116,AAT,"American Assets Trust, Inc.",1.62B,0.14%,12421,441.16M
117,NXRT,"NexPoint Residential Trust, Inc.",1.60B,-0.84%,12343,277.53M
118,JBGS,JBG SMITH Properties,1.60B,0.06%,77772,604.20M
119,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.57B,-0.09%,86835,344.59M
120,UNIT,Uniti Group Inc.,1.57B,-0.84%,197365,1.15B
