,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,SBSW,Sibanye Stillwater Limited,3.28B,-0.32%,2174949,8.13B
87,HCC,"Warrior Met Coal, Inc.",3.18B,-7.59%,306649,1.68B
88,IOSP,Innospec Inc.,3.13B,-0.53%,4507,1.95B
89,OR,Osisko Gold Royalties Ltd,3.01B,1.39%,634056,185.95M
90,CSTM,Constellium SE,2.95B,-0.70%,79031,8.04B
91,SXT,Sensient Technologies Corporation,2.91B,0.28%,17739,1.46B
92,MEOH,Methanex Corporation,2.82B,0.50%,30757,3.72B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,0.70%,76096,204.02M
94,MTRN,Materion Corporation,2.73B,-1.13%,8520,1.67B
95,SLVM,Sylvamo Corporation,2.58B,1.00%,34750,3.72B
96,HL,Hecla Mining Company,2.54B,6.20%,3052076,720.23M
97,MP,MP Materials Corp.,2.53B,2.46%,640445,253.45M
98,TROX,Tronox Holdings plc,2.49B,1.01%,101165,2.85B
99,EGO,Eldorado Gold Corporation,2.49B,0.74%,295922,1.01B
100,MTX,Minerals Technologies Inc.,2.34B,-0.17%,6695,2.17B
101,HBM,Hudbay Minerals Inc.,2.22B,1.11%,296638,1.69B
102,TGLS,Tecnoglass Inc.,2.11B,-1.31%,26188,833.27M
103,SCL,Stepan Company,1.96B,-0.15%,1222,2.33B
104,ERO,Ero Copper Corp.,1.71B,2.69%,70731,427.48M
105,NGVT,Ingevity Corporation,1.67B,0.48%,25428,1.69B
106,USLM,"United States Lime & Minerals, Inc.",1.64B,-0.67%,3031,281.33M
107,IAG,IAMGOLD Corporation,1.55B,0.32%,3501767,987.10M
108,AG,First Majestic Silver Corp.,1.53B,2.82%,2890182,573.80M
109,EQX,Equinox Gold Corp.,1.52B,2.34%,729199,1.09B
110,SGML,Sigma Lithium Corporation,1.49B,6.22%,448082,129.93M
111,HWKN,"Hawkins, Inc.",1.45B,1.22%,17560,924.29M
112,WS,"Worthington Steel, Inc.",1.40B,-5.31%,176201,-
113,SAND,Sandstorm Gold Ltd.,1.39B,2.59%,708523,179.64M
114,GPRE,Green Plains Inc.,1.33B,0.19%,63349,3.30B
115,OEC,Orion Engineered Carbons S.A.,1.29B,0.61%,20320,1.89B
116,CGAU,Centerra Gold Inc.,1.21B,1.87%,87239,1.09B
117,CDE,"Coeur Mining, Inc.",1.21B,4.15%,2690480,821.21M
