,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,STT,State Street Corporation,21.87B,-0.04%,259283,11.95B
85,ERIE,Erie Indemnity Company,21.75B,-2.04%,16411,3.27B
86,WRB,W. R. Berkley Corporation,21.65B,-0.01%,105472,12.14B
87,KB,KB Financial Group Inc.,20.29B,-0.55%,48344,3.19B
88,CBOE,"Cboe Global Markets, Inc.",19.71B,-1.30%,98765,3.77B
89,LPLA,LPL Financial Holdings Inc.,19.65B,-0.42%,34688,10.05B
90,HBAN,Huntington Bancshares Incorporated,19.65B,-0.74%,3288378,6.96B
91,MKL,Markel Corporation,19.62B,-0.16%,4630,15.80B
92,PFG,"Principal Financial Group, Inc.",18.86B,-0.52%,230212,13.67B
93,NMR,"Nomura Holdings, Inc.",18.73B,-4.48%,939830,10.09B
94,CINF,Cincinnati Financial Corporation,18.38B,-0.44%,126648,10.01B
95,RF,Regions Financial Corporation,18.10B,-0.76%,720270,7.02B
96,SHG,"Shinhan Financial Group Co., Ltd.",17.99B,-0.48%,19728,7.06B
97,FDS,FactSet Research Systems Inc.,17.75B,0.73%,35246,2.12B
98,SYF,Synchrony Financial,17.14B,0.05%,618905,7.66B
99,CG,The Carlyle Group Inc.,17.09B,-0.96%,495359,2.96B
100,NTRS,Northern Trust Corporation,16.69B,-1.11%,157333,6.75B
101,L,Loews Corporation,16.63B,0.07%,82851,15.90B
102,TPG,TPG Inc.,16.54B,-1.74%,110064,2.39B
103,BAM,Brookfield Asset Management Inc.,16.46B,-1.06%,122771,4.05B
104,EG,"Everest Group, Ltd.",15.86B,1.09%,42604,14.59B
105,CFG,"Citizens Financial Group, Inc.",15.74B,-0.84%,871897,7.54B
106,CRBG,"Corebridge Financial, Inc.",15.25B,0.57%,554222,18.88B
107,BEN,"Franklin Resources, Inc.",14.77B,-0.12%,356222,7.87B
108,RYAN,"Ryan Specialty Holdings, Inc.",14.14B,-0.75%,74025,2.08B
109,BAP,Credicorp Ltd.,13.96B,-0.03%,70569,3.90B
110,KEY,KeyCorp,13.93B,-0.47%,1704697,5.89B
111,XP,XP Inc.,13.88B,0.91%,811283,3.05B
112,FNF,"Fidelity National Financial, Inc.",13.76B,-0.10%,179080,11.75B
113,MORN,"Morningstar, Inc.",13.19B,-0.60%,6505,2.04B
114,KNSL,"Kinsale Capital Group, Inc.",12.19B,-1.64%,30314,1.22B
