,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,CENTA,Central Garden & Pet Company,2.59B,-0.59%,13449,3.32B
85,CENT,Central Garden & Pet Company,2.59B,-0.73%,10289,3.32B
86,GO,Grocery Outlet Holding Corp.,2.57B,2.60%,172793,3.97B
87,STRA,"Strategic Education, Inc.",2.53B,-0.82%,5956,1.13B
88,PSMT,"PriceSmart, Inc.",2.53B,-0.03%,14451,4.52B
89,SPB,"Spectrum Brands Holdings, Inc.",2.53B,-0.26%,44370,2.90B
90,AKO.B,Embotelladora Andina S.A.,2.45B,-0.13%,774,3.12B
91,TBBB,BBB Foods Inc.,2.44B,4.34%,55449,1.94B
92,COUR,"Coursera, Inc.",2.38B,0.30%,91557,635.76M
93,SOVO,"Sovos Brands, Inc.",2.34B,0.11%,1468596,1.02B
94,TR,"Tootsie Roll Industries, Inc.",2.25B,1.55%,17634,769.37M
95,AKO.A,Embotelladora Andina S.A.,2.21B,-2.24%,126,3.12B
96,DNUT,"Krispy Kreme, Inc.",2.18B,-0.66%,101270,1.69B
97,CCU,Compania Cervecerias Unidas S.A.,2.17B,-0.47%,30476,3.19B
98,LAUR,"Laureate Education, Inc.",2.15B,-0.44%,52986,1.48B
99,THS,"TreeHouse Foods, Inc.",1.98B,1.83%,225356,3.43B
100,ATGE,Adtalem Global Education Inc.,1.96B,-0.53%,46639,1.50B
101,EPC,Edgewell Personal Care Company,1.92B,-0.16%,50435,2.27B
102,AFYA,Afya Limited,1.86B,-0.82%,11431,547.10M
103,ANDE,"The Andersons, Inc.",1.86B,-1.82%,21587,14.75B
104,GOTU,Gaotu Techedu Inc.,1.85B,-3.01%,1192348,417.60M
105,MGPI,"MGP Ingredients, Inc.",1.82B,1.84%,24556,836.52M
106,WMK,"Weis Markets, Inc.",1.77B,-1.20%,8319,4.70B
107,VGR,Vector Group Ltd.,1.76B,-0.67%,86992,1.42B
108,UDMY,"Udemy, Inc.",1.74B,1.41%,108627,728.94M
109,CHEF,"The Chefs' Warehouse, Inc.",1.48B,-2.10%,47112,3.43B
110,UTZ,"Utz Brands, Inc.",1.45B,0.70%,163459,1.44B
111,IMKTA,"Ingles Markets, Incorporated",1.44B,-0.95%,19688,5.88B
112,COCO,"The Vita Coco Company, Inc.",1.43B,-1.04%,51305,493.61M
113,UVV,Universal Corporation,1.24B,-0.65%,44117,2.67B
114,JBSS,"Sanfilippo (John B.) & Son, Inc",1.19B,-0.31%,8826,998.08M
115,FDP,Fresh Del Monte Produce Inc.,1.18B,-1.17%,29628,4.32B
116,KLG,WK Kellogg Co,1.17B,-0.35%,156348,2.76B
117,PRDO,Perdoceo Education Corporation,1.16B,0.57%,159902,710.00M
118,DOLE,Dole plc,1.11B,0.17%,53076,8.25B
119,AGRO,Adecoagro S.A.,1.08B,0.20%,44786,1.41B
120,BRCC,BRC Inc.,1.08B,-2.75%,511022,369.59M
121,NAPA,"The Duckhorn Portfolio, Inc.",995.98M,5.79%,627505,396.89M
122,USNA,"USANA Health Sciences, Inc.",934.70M,0.37%,12479,921.01M
123,HLF,Herbalife Nutrition Ltd.,913.21M,4.02%,395500,5.06B
124,EWCZ,"European Wax Center, Inc.",881.79M,1.93%,34068,221.02M
125,BGS,"B&G Foods, Inc.",879.80M,2.28%,194006,2.06B
126,VITL,"Vital Farms, Inc.",857.23M,2.78%,114927,471.86M
127,CHGG,"Chegg, Inc.",842.12M,1.41%,279305,716.30M
128,HAIN,"The Hain Celestial Group, Inc.",841.73M,-0.05%,117797,1.78B
129,WEST,"Westrock Coffee Company, LLC",829.33M,-1.38%,24256,877.47M
130,STKL,SunOpta Inc.,787.92M,0.22%,115745,630.30M
131,UTI,"Universal Technical Institute, Inc.",780.19M,1.52%,68913,662.10M
132,AVO,"Mission Produce, Inc.",780.02M,-1.00%,17223,953.90M
133,SPTN,SpartanNash Company,709.03M,-0.73%,26148,9.73B
134,UNFI,"United Natural Foods, Inc.",698.98M,3.40%,268594,30.25B
135,NUS,"Nu Skin Enterprises, Inc.",629.62M,-0.71%,184244,1.97B
136,OTLY,Oatly Group AB,599.13M,2.48%,187082,783.35M
137,ISPR,Ispire Technology Inc.,529.22M,-1.51%,10772,141.32M
138,BYND,"Beyond Meat, Inc.",527.12M,-2.58%,1156867,343.38M
139,CVGW,"Calavo Growers, Inc.",521.50M,-1.37%,27824,971.95M
140,VTRU,Vitru Limited,504.52M,-1.66%,2141,377.63M
141,DAO,"Youdao, Inc.",490.65M,2.28%,90663,760.11M
142,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,482.51M,0.42%,19599,277.76M
143,TPB,"Turning Point Brands, Inc.",481.50M,-3.17%,21725,405.39M
144,SKIN,The Beauty Health Company,472.56M,-1.25%,511240,399.30M
145,VLGEA,"Village Super Market, Inc.",395.45M,0.79%,8782,2.20B
146,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",388.16M,0.76%,14231,1.16B
147,SENEA,Seneca Foods Corporation,361.08M,1.45%,5148,1.48B
148,SENEB,Seneca Foods Corporation,361.08M,-,16,1.48B
149,NATR,"Nature's Sunshine Products, Inc.",340.49M,-1.85%,15663,439.13M
