,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
84,ENTG,"Entegris, Inc.",21.06B,-1.06%,229952,3.52B
85,APP,AppLovin Corporation,21.03B,-2.70%,1280873,3.28B
86,UMC,United Microelectronics Corporation,20.67B,0.49%,1836044,8.15B
87,ZM,"Zoom Video Communications, Inc.",20.66B,3.95%,1759727,4.53B
88,WDC,Western Digital Corporation,20.53B,-1.59%,1334204,11.26B
89,TDY,Teledyne Technologies Incorporated,20.18B,-0.46%,22746,5.64B
90,NOK,Nokia Oyj,20.08B,-0.14%,5242779,24.73B
91,STX,Seagate Technology Holdings plc,19.42B,-2.14%,616820,6.47B
92,JBL,Jabil Inc.,19.29B,-1.78%,238821,33.45B
93,VRSN,"VeriSign, Inc.",19.27B,0.04%,67181,1.49B
94,CHKP,Check Point Software Technologies Ltd.,18.72B,1.74%,235141,2.41B
95,ERIC,Telefonaktiebolaget LM Ericsson (publ),18.52B,0.18%,4069245,26.11B
96,OKTA,"Okta, Inc.",18.46B,-1.77%,437838,2.26B
97,EPAM,"EPAM Systems, Inc.",17.89B,-0.51%,88961,4.69B
98,TYL,"Tyler Technologies, Inc.",17.78B,0.22%,93523,1.95B
99,ENPH,"Enphase Energy, Inc.",17.69B,-0.33%,792250,2.29B
100,PSTG,"Pure Storage, Inc.",17.49B,-1.28%,1449623,2.83B
101,LDOS,"Leidos Holdings, Inc.",17.48B,-1.26%,128717,15.44B
102,FSLR,"First Solar, Inc.",17.24B,1.47%,632711,3.32B
103,SWKS,"Skyworks Solutions, Inc.",17.04B,1.07%,406447,4.64B
104,AKAM,"Akamai Technologies, Inc.",16.82B,-0.44%,587730,3.81B
105,TER,"Teradyne, Inc.",16.24B,-0.28%,232853,2.68B
106,GDDY,GoDaddy Inc.,16.17B,0.29%,166086,4.25B
107,NTNX,"Nutanix, Inc.",16.09B,-3.01%,670131,2.02B
108,MANH,"Manhattan Associates, Inc.",15.85B,-1.04%,44053,928.73M
109,TRMB,Trimble Inc.,15.50B,-0.41%,129719,3.80B
110,SSNC,"SS&C Technologies Holdings, Inc.",15.32B,0.35%,107100,5.50B
111,NICE,NICE Ltd.,15.14B,-0.51%,123011,2.38B
112,HOOD,"Robinhood Markets, Inc.",14.87B,2.06%,5655372,1.87B
113,BSY,"Bentley Systems, Incorporated",14.69B,-0.97%,88710,1.23B
114,ZBRA,Zebra Technologies Corporation,14.52B,-0.46%,49288,4.58B
115,GEN,Gen Digital Inc.,14.06B,0.63%,538055,3.79B
116,LOGI,Logitech International S.A.,14.04B,-0.63%,194492,4.25B
117,DT,"Dynatrace, Inc.",13.85B,-0.67%,531481,1.36B
118,TOST,"Toast, Inc.",13.44B,1.04%,933221,3.87B
119,PATH,UiPath Inc.,13.39B,3.40%,3771913,1.21B
120,AZPN,"Aspen Technology, Inc.",13.09B,1.07%,31505,1.06B
121,JKHY,"Jack Henry & Associates, Inc.",12.73B,-0.91%,31446,2.16B
122,FLEX,Flex Ltd.,12.56B,-2.28%,1002354,29.39B
123,JNPR,"Juniper Networks, Inc.",12.12B,-0.50%,685252,5.56B
124,GRAB,Grab Holdings Limited,12.08B,1.46%,4820765,2.36B
125,AFRM,"Affirm Holdings, Inc.",11.89B,-0.46%,2026745,1.91B
126,PCOR,"Procore Technologies, Inc.",11.42B,0.33%,308643,950.01M
127,DOCU,"DocuSign, Inc.",11.41B,3.52%,2632832,2.76B
128,FFIV,"F5, Inc.",11.35B,-0.28%,60309,2.81B
129,ZI,ZoomInfo Technologies Inc.,11.33B,2.06%,1389154,1.24B
130,QRVO,"Qorvo, Inc.",11.21B,0.96%,152049,3.46B
131,LSCC,Lattice Semiconductor Corporation,11.07B,0.36%,212682,737.15M
132,CYBR,CyberArk Software Ltd.,11.02B,-1.87%,56306,751.89M
133,DOX,Amdocs Limited,10.80B,-0.04%,66162,4.95B
134,ESTC,Elastic N.V.,10.66B,-1.92%,591477,1.21B
135,MNDY,monday.com Ltd.,10.64B,-0.51%,120902,729.70M
136,DAY,Dayforce Inc,10.48B,-0.81%,146092,1.51B
137,U,Unity Software Inc.,10.44B,0.78%,1674190,2.19B
138,OTEX,Open Text Corporation,10.31B,-0.14%,83106,5.70B
139,PAYC,"Paycom Software, Inc.",10.25B,0.82%,126196,1.69B
140,CFLT,"Confluent, Inc.",10.18B,-1.37%,718296,776.95M
141,GWRE,"Guidewire Software, Inc.",9.80B,-1.11%,93259,925.75M
142,COHR,"Coherent, Inc.",9.67B,-3.34%,674404,4.63B
143,WEX,WEX Inc.,9.55B,-0.35%,57485,2.55B
144,INFA,Informatica Inc.,9.39B,-0.06%,57171,1.60B
145,PCTY,Paylocity Holding Corporation,9.22B,0.26%,50679,1.29B
146,GLOB,Globant S.A.,9.16B,0.87%,157239,2.10B
147,DUOL,"Duolingo, Inc.",9.16B,5.00%,236481,531.11M
148,SNX,TD SYNNEX Corporation,9.14B,0.06%,43872,57.56B
149,ONTO,Onto Innovation Inc.,9.10B,-3.80%,147488,815.87M
150,GTLB,GitLab Inc.,9.09B,-1.09%,793624,579.91M
