,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,BATRK,Atlanta Braves Holdings Inc,2.42B,-0.52%,8504,640.67M
86,WB,Weibo Corporation,2.18B,3.88%,717099,1.74B
87,CNK,"Cinemark Holdings, Inc.",2.08B,0.64%,671247,3.07B
88,LGF.A,Lions Gate Entertainment Corp.,2.07B,7.85%,310324,3.98B
89,WLY,"John Wiley & Sons, Inc.",2.03B,1.19%,91950,1.93B
90,GETY,"Getty Images Holdings, Inc.",1.93B,-0.83%,39228,922.08M
91,BOWL,Bowlero Corp.,1.91B,-1.21%,83678,1.09B
92,CRTO,Criteo S.A.,1.84B,0.48%,61965,1.95B
93,LUMN,"Lumen Technologies, Inc.",1.84B,0.82%,3778848,14.56B
94,MSGE,Madison Square Garden Entertainment Corp.,1.82B,-1.54%,40327,894.04M
95,VEON,VEON Ltd.,1.82B,0.06%,5767,1.72B
96,TDS,"Telephone and Data Systems, Inc.",1.80B,-0.19%,114389,5.16B
97,YY,JOYY Inc.,1.79B,1.36%,97571,2.30B
98,SSTK,"Shutterstock, Inc.",1.79B,1.88%,86968,874.59M
99,TV,"Grupo Televisa, S.A.B.",1.72B,0.17%,181471,3.88B
100,SPHR,Sphere Entertainment Co.,1.71B,-1.51%,113912,229.80M
101,MGNI,"Magnite, Inc.",1.62B,-1.03%,128147,619.71M
102,IAS,Integral Ad Science Holding Corp.,1.52B,3.56%,599030,474.37M
103,STGW,Stagwell Inc.,1.52B,2.25%,100558,2.58B
104,OPRA,Opera Limited,1.37B,-1.28%,992492,396.83M
105,ANGI,Angi Inc.,1.35B,-0.74%,117004,1.36B
106,LILAK,Liberty Latin America Ltd.,1.32B,1.17%,316323,4.51B
107,MOMO,Hello Group Inc.,1.30B,3.29%,349631,1.68B
108,TBLA,Taboola.com Ltd.,1.28B,6.24%,620452,1.44B
109,MAX,"MediaAlpha, Inc.",1.28B,-0.82%,38357,388.15M
110,ATUS,"Altice USA, Inc.",1.25B,-1.45%,326679,9.24B
111,GENI,Genius Sports Limited,1.25B,-0.84%,462296,412.98M
112,ADV,Advantage Solutions Inc.,1.23B,1.30%,71679,4.22B
113,SEAT,Vivid Seats Inc.,1.17B,-0.36%,463767,712.88M
114,SCHL,Scholastic Corporation,1.16B,1.13%,28561,1.64B
115,GOGO,Gogo Inc.,1.14B,1.58%,96951,397.58M
116,AMC,"AMC Entertainment Holdings, Inc.",1.13B,3.49%,5516427,4.81B
117,PERI,Perion Network Ltd.,1.07B,1.46%,101385,743.16M
118,IDT,IDT Corporation,947.78M,-0.67%,6287,1.22B
119,HUYA,HUYA Inc.,937.45M,17.01%,2145180,1.03B
120,SHEN,Shenandoah Telecommunications Company,920.99M,-0.11%,21276,287.38M
