,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,PAGP,"Plains GP Holdings, L.P.",4.07B,-0.98%,169538,48.71B
87,NXE,NexGen Energy Ltd.,3.97B,-0.88%,1614898,-
88,HP,"Helmerich & Payne, Inc.",3.87B,-1.00%,171922,2.83B
89,NOG,"Northern Oil and Gas, Inc.",3.67B,-1.21%,128356,2.17B
90,ERF,Enerplus Corporation,3.63B,-0.48%,629073,1.69B
91,EURN,Euronav NV,3.60B,-0.03%,95308,1.63B
92,VIST,"Vista Energy, SAB de CV",3.58B,-1.72%,128306,1.17B
93,STNG,Scorpio Tankers Inc.,3.58B,-1.29%,69065,1.34B
94,LBRT,Liberty Energy Inc.,3.58B,-2.95%,399733,4.75B
95,BTU,Peabody Energy Corporation,3.49B,-4.25%,856382,4.95B
96,SDRL,Seadrill Limited,3.36B,-0.11%,167426,1.50B
97,CRC,California Resources Corporation,3.35B,4.53%,553541,2.80B
98,ARCH,"Arch Resources, Inc.",3.33B,-5.53%,168444,3.15B
99,CVI,"CVR Energy, Inc.",3.33B,-1.03%,112382,9.25B
100,BSM,"Black Stone Minerals, L.P.",3.28B,-0.51%,67410,592.22M
101,CNX,CNX Resources Corporation,3.25B,0.09%,544060,3.43B
102,TRMD,TORM plc,3.05B,-0.86%,196904,1.52B
103,WHD,"Cactus, Inc.",3.04B,-0.49%,55933,1.10B
104,NS,NuStar Energy L.P.,3.01B,-0.55%,15226,1.63B
105,AROC,"Archrock, Inc.",2.81B,-0.61%,111138,990.34M
106,USAC,"USA Compression Partners, LP",2.76B,-0.71%,67503,846.18M
107,CEIX,CONSOL Energy Inc.,2.73B,-6.67%,128179,2.57B
108,GPOR,Gulfport Energy Corporation,2.69B,-0.86%,16376,1.05B
109,BTE,Baytex Energy Corp.,2.63B,-1.10%,2777369,2.04B
110,KOS,Kosmos Energy Ltd.,2.60B,-0.72%,1014804,1.70B
111,INSW,"International Seaways, Inc.",2.60B,-2.75%,121270,1.07B
112,ARLP,"Alliance Resource Partners, L.P.",2.55B,-0.48%,95408,2.57B
113,UEC,Uranium Energy Corp.,2.50B,2.51%,1872509,107.21M
114,CRK,"Comstock Resources, Inc.",2.36B,-1.94%,553183,1.57B
115,TALO,Talos Energy Inc.,2.33B,-1.06%,170609,1.46B
116,TGS,Transportadora de Gas del Sur S.A.,2.24B,-1.03%,27568,932.68M
117,GLNG,Golar LNG Limited,2.22B,0.69%,155656,267.74M
118,PARR,"Par Pacific Holdings, Inc.",2.14B,-1.56%,56550,8.23B
119,CPE,Callon Petroleum Company,2.13B,-0.30%,95320,2.34B
120,OII,"Oceaneering International, Inc.",2.07B,-2.28%,104741,2.42B
121,KNTK,Kinetik Holdings Inc.,2.04B,0.22%,60408,1.26B
122,AESI,Atlas Energy Solutions Inc.,2.02B,2.45%,458287,613.96M
123,XPRO,Expro Group Holdings N.V.,2.01B,-1.10%,56851,1.51B
124,CRGY,Crescent Energy Company,1.95B,-0.60%,215471,2.38B
125,HPK,"HighPeak Energy, Inc.",1.88B,-0.24%,39076,1.11B
126,VTLE,"Vital Energy, Inc.",1.83B,-1.41%,54818,1.47B
127,TNK,Teekay Tankers Ltd.,1.83B,-2.13%,60168,1.36B
128,KGS,"Kodiak Gas Services, Inc.",1.82B,-1.92%,52093,850.38M
129,VET,Vermilion Energy Inc.,1.79B,1.77%,426863,1.51B
130,DHT,"DHT Holdings, Inc.",1.79B,-1.94%,235348,560.56M
