,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,PAG,"Penske Automotive Group, Inc.",10.20B,-0.58%,13732,29.53B
86,BBWI,"Bath & Body Works, Inc.",10.11B,-0.45%,354164,7.41B
87,TXRH,"Texas Roadhouse, Inc.",9.91B,-0.51%,90762,4.63B
88,ALV,"Autoliv, Inc.",9.68B,1.69%,132987,10.48B
89,TPX,"Tempur Sealy International, Inc.",9.52B,-1.55%,156773,4.93B
90,CCK,"Crown Holdings, Inc.",9.42B,0.24%,102385,12.01B
91,VIPS,Vipshop Holdings Limited,9.37B,-1.07%,893555,15.92B
92,SKX,"Skechers U.S.A., Inc.",9.20B,-0.45%,289851,8.00B
93,CZR,"Caesars Entertainment, Inc.",9.11B,2.09%,321628,11.53B
94,LNW,"Light & Wonder, Inc.",9.10B,-2.13%,79203,2.90B
95,BIRK,Birkenstock Holding plc,8.99B,-1.34%,120359,1.69B
96,XPEV,XPeng Inc.,8.98B,5.93%,4373519,3.13B
97,MUSA,Murphy USA Inc.,8.66B,-2.37%,26994,21.53B
98,ETSY,"Etsy, Inc.",8.57B,-0.73%,575287,2.75B
99,NCLH,Norwegian Cruise Line Holdings Ltd.,8.51B,-0.63%,1923773,8.55B
100,MTN,"Vail Resorts, Inc.",8.50B,1.14%,139981,2.87B
101,GNTX,Gentex Corporation,8.41B,-0.52%,174697,2.30B
102,GPK,Graphic Packaging Holding Company,8.37B,-0.16%,336192,9.43B
103,CHDN,Churchill Downs Incorporated,8.27B,-0.34%,63707,2.46B
104,AS,"Amer Sports, Inc.",8.13B,-,176372,4.37B
105,PVH,PVH Corp.,8.01B,-3.08%,354085,9.22B
106,LEA,Lear Corporation,8.00B,0.85%,79845,23.47B
107,LAD,"Lithia Motors, Inc.",7.94B,-0.53%,69626,31.04B
108,SN,"SharkNinja, Inc.",7.80B,-0.45%,133820,4.25B
109,GPS,"The Gap, Inc.",7.76B,-1.24%,3269001,14.83B
110,MHK,"Mohawk Industries, Inc.",7.75B,-0.82%,72225,11.14B
111,CHWY,"Chewy, Inc.",7.64B,1.44%,2749150,11.01B
112,CROX,"Crocs, Inc.",7.56B,0.54%,244885,3.96B
113,W,Wayfair Inc.,7.41B,-1.30%,1214548,12.00B
114,BWA,BorgWarner Inc.,7.36B,0.66%,1220918,14.20B
115,LEVI,Levi Strauss & Co.,7.25B,-0.47%,211095,6.18B
116,CAVA,"CAVA Group, Inc.",7.22B,1.25%,615482,728.70M
117,HAS,"Hasbro, Inc.",7.18B,-0.25%,243075,5.00B
118,LCID,"Lucid Group, Inc.",7.13B,-0.48%,7754028,595.27M
119,BERY,"Berry Global Group, Inc.",6.99B,-0.86%,95743,12.46B
120,MAT,"Mattel, Inc.",6.99B,0.40%,303613,5.44B
121,BFAM,Bright Horizons Family Solutions Inc.,6.82B,-1.23%,39426,2.42B
122,HRB,"H&R Block, Inc.",6.72B,-1.70%,159023,3.49B
123,MMYT,MakeMyTrip Limited,6.63B,-2.00%,183310,728.16M
124,ALSN,"Allison Transmission Holdings, Inc.",6.63B,-1.13%,113254,3.04B
125,DDS,"Dillard's, Inc.",6.58B,-1.44%,13746,6.87B
126,CART,Maplebear Inc.,6.47B,0.35%,550765,3.04B
127,BROS,Dutch Bros Inc.,6.41B,3.90%,767316,965.78M
128,VFC,V.F. Corporation,6.26B,0.06%,990709,10.82B
129,AN,"AutoNation, Inc.",6.21B,-0.26%,26345,26.95B
130,TMHC,Taylor Morrison Home Corporation,6.19B,-1.41%,73651,7.42B
131,WH,"Wyndham Hotels & Resorts, Inc.",6.16B,0.14%,474150,1.40B
132,BC,Brunswick Corporation,6.15B,-0.51%,88158,6.40B
133,REYN,Reynolds Consumer Products Inc.,6.08B,-0.28%,45137,3.76B
134,BYD,Boyd Gaming Corporation,6.07B,0.97%,78341,3.74B
135,CHH,"Choice Hotels International, Inc.",6.00B,4.61%,917997,1.54B
136,ANF,Abercrombie & Fitch Co.,5.99B,-2.78%,543337,4.03B
137,WHR,Whirlpool Corporation,5.95B,-1.50%,146652,19.46B
138,RRR,"Red Rock Resorts, Inc.",5.85B,-0.26%,18110,1.72B
139,M,"Macy's, Inc.",5.80B,-1.42%,2548816,23.87B
140,MTH,Meritage Homes Corporation,5.78B,-1.71%,56682,6.14B
141,GIL,Gildan Activewear Inc.,5.76B,-1.54%,91914,3.20B
142,PLNT,"Planet Fitness, Inc.",5.73B,-0.80%,108533,1.07B
143,SON,Sonoco Products Company,5.65B,-0.14%,85481,6.78B
144,LOT,Lotus Technology Inc.,5.64B,9.38%,40146,139.59M
145,THO,"Thor Industries, Inc.",5.60B,-2.39%,127882,10.38B
146,GLBE,Global-e Online Ltd.,5.54B,0.92%,105490,569.95M
147,CPRI,Capri Holdings Limited,5.45B,-0.62%,62277,5.28B
148,MNSO,MINISO Group Holding Limited,5.39B,3.34%,496953,1.72B
149,KBH,KB Home,5.27B,-1.05%,92705,6.41B
150,SEE,Sealed Air Corporation,5.27B,0.16%,170852,5.49B
151,HOG,"Harley-Davidson, Inc.",5.25B,1.69%,382224,5.84B
152,PII,Polaris Inc.,5.23B,-0.29%,66532,8.93B
153,ASO,"Academy Sports and Outdoors, Inc.",5.21B,-3.29%,232068,6.11B
154,RH,RH,5.05B,-0.96%,92527,3.06B
155,IGT,International Game Technology PLC,5.03B,0.60%,82124,4.55B
156,COLM,Columbia Sportswear Company,4.82B,-0.95%,44555,3.49B
157,SKY,Skyline Champion Corporation,4.80B,-1.05%,15457,1.98B
158,DOOO,BRP Inc.,4.75B,-0.07%,12872,7.85B
159,SLGN,Silgan Holdings Inc.,4.71B,0.27%,48307,5.99B
160,MDC,"M.D.C. Holdings, Inc.",4.70B,0.01%,437546,4.64B
161,HGV,Hilton Grand Vacations Inc.,4.66B,0.97%,108019,3.98B
162,GME,GameStop Corp.,4.48B,-0.72%,809388,5.71B
163,AEO,"American Eagle Outfitters, Inc.",4.40B,-0.83%,1060123,5.08B
164,SHAK,Shake Shack Inc.,4.38B,-2.16%,246892,1.09B
165,MOD,Modine Manufacturing Company,4.38B,-4.07%,417111,2.42B
166,AAP,"Advance Auto Parts, Inc.",4.35B,-1.04%,205526,11.30B
167,SIG,Signet Jewelers Limited,4.30B,-2.78%,93178,7.34B
168,ABG,"Asbury Automotive Group, Inc.",4.28B,-1.21%,14518,14.80B
169,GOLF,Acushnet Holdings Corp.,4.08B,-1.67%,31364,2.38B
170,URBN,"Urban Outfitters, Inc.",3.85B,-2.58%,246610,5.05B
171,RUSHA,"Rush Enterprises, Inc.",3.79B,-1.90%,36826,7.93B
172,RUSHB,"Rush Enterprises, Inc.",3.79B,-0.52%,7152,7.93B
173,WEN,The Wendy's Company,3.78B,-0.43%,330960,2.18B
174,TRIP,"Tripadvisor, Inc.",3.66B,0.32%,578988,1.79B
175,PSNY,Polestar Automotive Holding UK PLC,3.63B,0.58%,457734,2.83B
176,ZGN,Ermenegildo Zegna N.V.,3.62B,-0.97%,100852,1.83B
177,GPI,"Group 1 Automotive, Inc.",3.59B,-0.23%,13228,17.87B
178,UA,"Under Armour, Inc.",3.59B,-1.55%,453500,5.77B
179,UAA,"Under Armour, Inc.",3.59B,-2.25%,1037960,5.77B
180,DFH,"Dream Finders Homes, Inc.",3.53B,-1.00%,48619,3.75B
181,MHO,"M/I Homes, Inc.",3.53B,-1.24%,23791,4.03B
182,GT,The Goodyear Tire & Rubber Company,3.48B,0.98%,416703,20.07B
183,KTB,"Kontoor Brands, Inc.",3.42B,-0.72%,73871,2.61B
184,YETI,"YETI Holdings, Inc.",3.38B,-1.65%,208663,1.66B
185,PRKS,United Parks & Resorts Inc.,3.34B,-0.24%,38513,1.73B
186,VAC,Marriott Vacations Worldwide Corporation,3.31B,0.52%,39900,4.73B
187,TPH,"Tri Pointe Homes, Inc.",3.30B,-1.79%,116199,3.72B
188,VC,Visteon Corporation,3.22B,-0.19%,21403,3.95B
189,ADNT,Adient plc,3.22B,0.48%,88646,15.36B
190,TNL,Travel + Leisure Co.,3.21B,0.02%,45086,3.75B
191,MLCO,Melco Resorts & Entertainment Limited,3.19B,1.10%,381408,3.78B
192,SVV,"Savers Value Village, Inc.",3.12B,-0.46%,106693,1.50B
193,SHOO,"Steven Madden, Ltd.",3.11B,-2.27%,120414,1.98B
194,GEF,"Greif, Inc.",3.10B,-1.12%,20419,5.15B
195,GEF.B,"Greif, Inc.",3.10B,-0.19%,4000,5.15B
196,CVCO,"Cavco Industries, Inc.",3.04B,0.26%,7317,1.85B
197,CRI,"Carter's, Inc.",3.04B,0.65%,142360,2.95B
198,KSS,Kohl's Corporation,3.02B,-2.38%,2434475,17.54B
199,QS,QuantumScape Corporation,2.99B,1.57%,1567675,-
200,AIN,Albany International Corp.,2.98B,-0.99%,6699,1.15B
201,ACVA,ACV Auctions Inc.,2.94B,-1.81%,69567,481.23M
202,LCII,LCI Industries,2.93B,-2.16%,64683,3.78B
203,LTH,"Life Time Group Holdings, Inc.",2.89B,2.01%,112113,2.22B
204,DORM,"Dorman Products, Inc.",2.82B,-0.67%,8433,1.93B
205,VSTS,Vestis Corporation,2.80B,-0.75%,68628,-
206,PENN,"PENN Entertainment, Inc.",2.79B,1.64%,834072,6.36B
