,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,LECO,"Lincoln Electric Holdings, Inc.",14.46B,-1.05%,29210,4.19B
87,XPO,"XPO Logistics, Inc.",14.22B,-1.29%,230595,7.74B
88,UAL,"United Airlines Holdings, Inc.",14.20B,-1.18%,1804186,53.72B
89,SWK,"Stanley Black & Decker, Inc.",14.07B,-1.09%,171983,15.78B
90,RBA,RB Global Inc,13.87B,-0.24%,89028,3.68B
91,OC,Owens Corning,13.66B,-1.20%,114367,9.68B
92,PNR,Pentair plc,13.43B,-0.89%,141484,4.10B
93,BLD,TopBuild Corp.,12.94B,-1.87%,64019,5.19B
94,GFL,GFL Environmental Inc.,12.89B,0.65%,137417,5.65B
95,AOS,A. O. Smith Corporation,12.62B,-1.07%,85174,3.85B
96,UHAL.B,U-Haul Holding Company,12.61B,-1.40%,29191,5.72B
97,UHAL,U-Haul Holding Company,12.61B,-1.18%,11924,5.72B
98,TFII,TFI International Inc.,12.59B,-0.48%,37867,7.52B
99,WMS,"Advanced Drainage Systems, Inc.",12.55B,-1.24%,45715,2.84B
100,ACM,AECOM,12.48B,-1.41%,83101,14.90B
101,HII,"Huntington Ingalls Industries, Inc.",11.61B,-0.96%,25497,11.45B
102,RRX,Regal Rexnord Corporation,11.50B,-2.57%,58916,6.25B
103,ALLE,Allegion plc,11.46B,-0.82%,80629,3.65B
104,NVT,nVent Electric plc,11.32B,-0.82%,411409,3.26B
105,FIX,"Comfort Systems USA, Inc.",11.06B,-3.23%,113293,5.21B
106,ITT,ITT Inc.,10.43B,-1.27%,17672,3.28B
107,TREX,"Trex Company, Inc.",10.31B,-1.39%,81029,1.09B
108,FBIN,"Fortune Brands Innovations, Inc.",10.28B,-1.06%,54013,4.63B
109,CLH,"Clean Harbors, Inc.",10.15B,-1.37%,24926,5.41B
110,TTEK,"Tetra Tech, Inc.",9.97B,-1.70%,39873,4.86B
111,CNM,"Core & Main, Inc.",9.79B,-2.47%,699095,6.64B
112,STN,Stantec Inc.,9.73B,-2.16%,22714,3.81B
113,AAL,American Airlines Group Inc.,9.61B,-1.29%,5617177,52.79B
114,ESLT,Elbit Systems Ltd.,9.56B,-3.42%,29144,5.86B
115,APG,APi Group Corporation,9.54B,-0.58%,424901,6.93B
116,BWXT,"BWX Technologies, Inc.",9.42B,-0.40%,78242,2.50B
117,TTC,The Toro Company,9.32B,-1.30%,80204,4.41B
118,CW,Curtiss-Wright Corporation,9.24B,-1.66%,16488,2.85B
119,KNX,Knight-Swift Transportation Holdings Inc.,9.11B,0.12%,144771,7.14B
120,SSD,"Simpson Manufacturing Co., Inc.",8.99B,-2.41%,28969,2.21B
121,WWD,"Woodward, Inc.",8.89B,-0.61%,44283,3.08B
122,WSC,WillScot Mobile Mini Holdings Corp.,8.86B,-1.16%,151037,2.36B
123,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",8.82B,0.19%,5925,1.30B
124,DCI,"Donaldson Company, Inc.",8.73B,-1.08%,69297,3.48B
125,PSN,Parsons Corporation,8.62B,-1.39%,163863,5.44B
126,RHI,Robert Half International Inc.,8.56B,-1.48%,154057,6.39B
127,CHRW,"C.H. Robinson Worldwide, Inc.",8.47B,2.57%,286588,17.60B
128,AGCO,AGCO Corporation,8.41B,0.47%,106516,14.41B
129,KBR,"KBR, Inc.",8.33B,-1.04%,175519,6.96B
130,ARMK,Aramark,8.31B,-0.47%,369275,18.66B
131,MIDD,The Middleby Corporation,8.25B,-0.12%,29325,4.04B
132,SITE,"SiteOne Landscape Supply, Inc.",8.22B,-1.76%,118587,4.30B
133,WCC,"WESCO International, Inc.",8.14B,-2.30%,59083,22.39B
134,AYI,"Acuity Brands, Inc.",7.83B,-0.40%,28536,3.89B
135,RBC,RBC Bearings Incorporated,7.82B,-0.50%,9842,1.54B
136,IEP,Icahn Enterprises L.P.,7.76B,-3.95%,563266,10.85B
137,OSK,Oshkosh Corporation,7.49B,-0.18%,107543,9.66B
138,BZ,Kanzhun Limited,7.39B,3.01%,973955,750.22M
139,MTZ,"MasTec, Inc.",7.32B,-3.05%,76797,12.00B
140,MSA,MSA Safety Incorporated,7.31B,-0.81%,6014,1.79B
141,FCN,"FTI Consulting, Inc.",7.25B,-1.17%,31616,3.49B
142,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.18B,0.41%,5802,1.41B
143,AIT,"Applied Industrial Technologies, Inc.",7.15B,-1.75%,26156,4.46B
144,AZEK,The AZEK Company Inc.,7.13B,-2.04%,244718,1.39B
145,GNRC,Generac Holdings Inc.,7.06B,-0.04%,136688,4.02B
146,WTS,"Watts Water Technologies, Inc.",6.82B,-0.49%,9064,2.06B
147,IBP,"Installed Building Products, Inc.",6.75B,-1.35%,25974,2.78B
148,AAON,"AAON, Inc.",6.67B,-3.14%,62295,1.17B
149,LSTR,"Landstar System, Inc.",6.66B,0.34%,33717,5.30B
150,ATI,ATI Inc.,6.47B,-3.50%,147362,4.17B
151,FLR,Fluor Corporation,6.47B,-1.40%,142102,15.47B
152,CR,Crane Company,6.42B,0.73%,36528,2.42B
153,HXL,Hexcel Corporation,6.41B,-1.07%,69296,1.79B
154,TNET,"TriNet Group, Inc.",6.37B,-2.14%,77770,4.92B
155,CAE,CAE Inc.,6.30B,-0.46%,50574,3.38B
156,ATKR,Atkore Inc.,6.19B,-1.53%,87319,3.48B
